{{Infobox settlement
| name                            = Klang
| official_name                   = Klang Bandar Diraja<br>کلڠ بندر دراج
| translit_lang1                  = Other
| translit_lang1_type1            = [[Jawi alphabet|Jawi]]
| translit_lang1_info1            = کلڠ
| translit_lang1_type2            = [[Chinese language|Chinese]]
| translit_lang1_info2            = {{Lang|zh-hant|巴生}}
| translit_lang1_type3            = [[Malaysian Tamil|Tamil]]
| translit_lang1_info3            = கிள்ளான்
| nickname                        = 
| motto                           = ''Perpaduan Sendi Kekuatan'' <small>{{in lang|ms}} </small><br>"Unity is the Foundation of Strength"
| website                         = {{URL|mpklang.gov.my/}}
| image_skyline                   = Sultan-klang.jpg
| image_caption                   = The palace of the Sultan of Selangor in Klang
| settlement_type                 = Royal town district
| image_flag                      = Flag of Selangor.svg
| image_seal                      = File:The_Seal_of_Klang_Municipal_Council.jpg
| image_map                       = Klang District Selangor Municipalities Klang Highlighted.svg
| map_caption                     = Location of area under [[Municipal Council|MP]] Klang ('''red''') within the [[Klang District]] ('''orange'''), and the state of [[Selangor]] ('''yellow''').
| pushpin_map                     = Malaysia
| subdivision_type                = Country
| subdivision_type1               = [[States of Malaysia|State]]
| subdivision_name                = [[Malaysia]]
| subdivision_name1               = [[Selangor]]
| established_title               = Establishment
| established_date                = 
| established_title2              = Granted<br />Municipal Status
| established_date2               = 1 January 1977
| leader_title                    = Administered by
| leader_name                     = Klang Municipal Council
| leader_title1                   = Yang diPertua<br />(President)
| leader_name1                    = Dato' Mohamad Yasid Bidin<ref>{{cite web|title=Turning Klang into a clean town |url=http://www.thestar.com.my/Metro/Community/2015/11/24/Turning-Klang-into-a-clean-town-New-MPK-president-aims-to-focus-on-cleanliness/|work=[[The Star (Malaysia)|The Star]]|access-date=24 November 2015}}</ref>
| area_magnitude                  = 
| area_total_sq_mi                = 202
| area_total_km2                  = 573
| population_as_of                = 2010
| population                      = 240,016
| population_urban                = 744,062
| population_metro                = 842,146
| population_density_sq_mi        = 
| population_density_km2          = 1298
| timezone                        = [[Malaysian Standard Time|MST]]
| utc_offset                      = +8
| timezone_DST                    = Not observed
| elevation_m                     = 
| elevation_ft                    = 
| coordinates                     = {{coord|3|02|N|101|27|E|region:MY|display=inline}}
| footnotes                       = 
}}
