{{Infobox settlement
| name                         = Montreal
| native_name                  = {{native name|fr|Montréal}}
| official_name                = ''Ville de Montréal''
| settlement_type              = [[List of cities in Canada|City]]
| image_skyline                = <!-- Do NOT change without first discussing on talk page -->{{multiple image|total_width=270px|perrow=1/2/1/2|border=infobox
| image1                          =  Montreal Montage 2020.jpg
| alt1                            = 
| image2                          = 
| alt2                            = 
| image3                          = 
| alt3                            = 
| image4                          = 
| alt4                            = 
| image5                          = 
| alt5                            = 
| image6                          = 
| alt6                            = 
}}
| image_caption                = ''From top, left to right:'' [[Downtown Montreal]] skyline at night, [[Old Montreal]], [[Notre-Dame Basilica (Montreal)|Notre-Dame Basilica]], [[Old Port of Montreal]], [[Saint Joseph's Oratory]], [[Olympic Stadium (Montreal)|Olympic Stadium]]
| image_flag                   = Flag of Montreal.svg
| flag_size                    = 125px
| flag_link                    = Flag of Montreal
| image_seal                   = Coat of arms of Montreal.svg
| seal_type                    = Coat of arms
| seal_size                    = 95px
| seal_link                    = Coat of arms of Montreal
| image_blank_emblem           = City of Montréal logo.svg
| blank_emblem_type            = [[Wordmark]]
| blank_emblem_size            = 160px
| nickname                     = [[Name of Montreal#Nicknames|"MTL", "The 514", "The City of Festivals", "The City of Saints", "The City of a Hundred Steeples", "Sin City", "La Métropole"]]<ref>{{cite web | url= http://www2.ville.montreal.qc.ca/archives/500ans/portail_archives_en/rep_chapitre12/chapitre12-1.html | title= Quebec's Metropolis 1960–1992 | publisher= Montreal Archives | access-date= January 24, 2013 | archive-url= https://web.archive.org/web/20130105073436/http://www2.ville.montreal.qc.ca/archives/500ans/portail_archives_en/rep_chapitre12/chapitre12-1.html | archive-date= January 5, 2013 | url-status=live }}</ref><ref>{{cite news |language= fr |title= La Gaspésie s'attable dans la métropole |first= Gilles |last= Gagné |work= [[Le Soleil (Quebec)|Le Soleil]] |location= Quebec City |date= May 31, 2012 |access-date= June 9, 2012 |url= http://www.lapresse.ca/le-soleil/affaires/les-regions/201205/30/01-4530197-la-gaspesie-sattable-dans-la-metropole.php |archive-url= https://web.archive.org/web/20130605174132/http://www.lapresse.ca/le-soleil/affaires/les-regions/201205/30/01-4530197-la-gaspesie-sattable-dans-la-metropole.php |archive-date= June 5, 2013 |url-status=live }}</ref><ref>{{cite news |language = fr |title= Montréal, la ville aux cent clochers : regards des Montréalais sur leurs lieux de culte |first= Jean-François |last= Leclerc |work= {{Interlanguage link multi|Éditions Fides|fr}} |location= Quebec City |date= 2002}}</ref><ref>{{cite web|url= http://www.lonelyplanet.com/worldguide/destinations/north-america/canada/montreal?v=print|title= Lonely Planet Montreal Guide – Modern History|publisher= [[Lonely Planet]]|access-date= December 12, 2006|archive-url= https://web.archive.org/web/20070105025233/http://www.lonelyplanet.com/worldguide/destinations/north-america/canada/montreal?v=print|archive-date= January 5, 2007|url-status=live}}</ref>
| motto                        = [[Concordia Salus]] ("well-being through harmony")
| image_map                    = CAN QC 66023 Montréal.png
| map_caption                  = Location within urban agglomeration
| pushpin_map                  = Quebec
| pushpin_map_caption          = Location within Quebec
| coordinates                  = {{coord|45|30|32|N|73|33|15|W|region:CA-QC_source:http://www4.rncan.gc.ca/search-place-names/unique/EHHUN|display=inline,title}}
| coor_pinpoint                =
| coordinates_footnotes        =
| subdivision_type             = Country
| subdivision_name             = Canada
| subdivision_type1            = [[Provinces and Territories of Canada|Province]]
| subdivision_type2            = [[Region (Quebec)|Region]]
| subdivision_type3            = [[Urban agglomerations in Quebec|UA]]
| subdivision_name1            = [[Quebec]]
| subdivision_name2            = [[Montreal (region)|Montreal]]
| subdivision_name3            = [[Urban agglomeration of Montreal]]
| established_title            = Founded
| established_date             = May 17, 1642
| established_title1           = Incorporated
| established_date1            = 1832
| established_title2           = Constituted
| established_date2            = January 1, 2002
| parts_type                   = Boroughs
| parts_style                  = <!-- = list (for list), coll (for collapsed list), para (for paragraph format) Default is list if up to 5 items, coll if more than 5-->
| parts                        = <!-- parts text, or header for parts list -->
| p1                           = [[Ahuntsic-Cartierville]]
| government_footnotes         = <ref name="mamrot"/>
| government_type              = [[Montreal City Council]]
| leader_title                 = Mayor
| leader_name                  = [[Valérie Plante]]
| leader_title1                = [[List of Canadian federal electoral districts|Federal riding]]
| leader_name1                 = {{Collapsible list
 | title       = List
 | frame_style = border:none; padding: 0;
 | list_style  = text-align:left;display:none;
 | 1           = [[Ahuntsic-Cartierville (electoral district)|Ahuntsic-Cartierville]]
 | 2           = [[Bourassa (electoral district)|Bourassa]]
 | 3           = [[Dorval—Lachine—LaSalle]]
 | 4           = [[Hochelaga (electoral district)|Hochelaga]]
 | 5           = [[Honoré-Mercier (electoral district)|Honoré-Mercier]]
 | 6           = [[La Pointe-de-l'Île]]
 | 7           = [[Lac-Saint-Louis (electoral district)|Lac-Saint-Louis]]
 | 8           = [[LaSalle—Émard—Verdun]]
 | 9           = [[Laurier—Sainte-Marie]]
 | 10          = [[Mount Royal (electoral district)|Mount Royal]]
 | 11          = [[Notre-Dame-de-Grâce—Westmount]]
 | 12          = [[Outremont (electoral district)|Outremont]]
 | 13          = [[Papineau (electoral district)|Papineau]]
 | 14          = [[Pierrefonds—Dollard]]
 | 15          = [[Rosemont—La Petite-Patrie]]
