{{Infobox settlement
| name                    = {{PH wikidata|name}}
| image_skyline           = {{Photomontage
| photo1a      = Pasigchall-2013-01.jpg 
| photo2a      = 0577jfPasig City Capitol Commons Sports Arena Ortigas Center Shaw Boulevardfvf 13.jpg
| photo2b      = Pasig Revolving Tower (Megamarket compound, Pasig)(2017-07-11) (2).jpg 
| photo3a      = 03219jfFlood Control SABO Sumilang Buting Bridge Pasig City River Ferryfvf 24.jpg
| photo3b      = Ortigas Center - Emerald, Strata (Pasig; 09-10-2019).jpg
| size         = 250
| position     = center
| spacing      = 1
| color        = transparent
| border       = 0
| foot_montage =  (''From top, clockwise'': Pasig overview • Pasig Revolving Tower • Emerald Avenue, Ortigas Center • Pasig River • Capitol Commons) 
}}
| image_flag              = Pasig flag.jpg
| flag_size               = 130px
| image_seal              = Pasig City Seal Logo.svg
| seal_size               = 100x80px
| image_map               = {{PH wikidata|image_map}}
| map_caption             = {{PH wikidata|map_caption}}
| image_map1              = {{hidden begin|title=OpenStreetMap|ta1=center}}{{Infobox mapframe
|frame-width=250}}{{hidden end}}
| pushpin_map             = Philippines
| pushpin_label_position  = left
| pushpin_map_caption     = Location within the {{PH wikidata|country}}
| coordinates             = {{PH wikidata|coordinates}}
| settlement_type         = {{PH wikidata|settlement_type}}
| subdivision_type        = Country
| subdivision_name        = Philippines
| subdivision_type1       = [[Regions of the Philippines|Region]]
| subdivision_name1       = {{PH wikidata|region}}
| subdivision_type2       = [[Provinces of the Philippines|Province]]
| subdivision_name2       = ''none''
| official_name           = {{PH wikidata|official_name}}
| etymology               = <!--origin of name-->
| named_for               = <!--named after (if person or place)-->
| nickname                = 
| image_blank_emblem      = Pasig_Wordmark.svg
| blank_emblem_type       = [[Wordmark]]
| motto                   = ''Pasig: Umaagos ang Pag-asa''<br />English: "Pasig: Flowing with Hope!"
| anthem                  = ''Martsa ng Pasig''
| subdivision_type3       = [[House of Representatives of the Philippines#District representation|District]]
| subdivision_name3       = [[Legislative district of Pasig|Lone district]]
| established_title       = [[Date of establishment|Founded]]
| established_date        = 1572
| established_title1      = Cityhood and HUC
| established_date1       = January 21, 1995
| parts_type              = [[Barangay]]s
| parts_style             = para
| p1                      = 30 (see [[#Barangays|Barangays]])
| leader_title            = {{PH wikidata|leader_title}} <!--mayor-->
| leader_name             = [[Vico Sotto|Victor Ma. Regis N. Sotto]]
| leader_title1           = [[Vice Mayor]]
| leader_name1            = Iyo Christian C. Bernardo
| leader_title2           = [[House of Representatives of the Philippines#Current composition|Representative]] <!--congressman or congresswoman -->
| leader_name2            = [[Roman Romulo|Roman T. Romulo]]
| leader_title3           = [[Councillor|Councilors]]
| leader_name3            = {{Collapsible list
| title       = List
| frame_style = border:none; padding: 0;
| list_style  = text-align:left;
| 1           = '''1st District'''
| 2           = Ferdinand Avis
| 3           = Gregorio Rupisan Jr.
| 4           = Rhichie Gerard Brown
| 5           = Reynaldo San Buenaventura III
| 6           = Regino Balderrama
| 7           = Edith Santiago
| 8           = '''2nd District'''
| 9           = Rodrigo Asilo
| 10          = Jun–Jun Concepcion
| 11          = Olly Benito
| 12          = Willy Sityar
| 13          = Corie Raymundo
| 14          = [[Yoyong Martirez]]
}}
| leader_title4           = [[Elections in the Philippines#Qualification|Electorate]]
| leader_name4            = {{PH wikidata|electorate}} voters ([[Philippine general election, {{PH wikidata|electorate_point_in_time}}|{{PH wikidata|electorate_point_in_time}}]])
| government_type         = {{PH wikidata|government_type}}
| government_footnotes    = {{thinsp}}<ref>{{DILG detail}}</ref>
| elevation_m             = {{PH wikidata|elevation_m}}
| elevation_max_m         = 
| elevation_min_m         = 
| elevation_max_rank      = 
| elevation_min_rank      = 
| elevation_footnotes     = {{PH wikidata|elevation_footnotes}}
| elevation_max_footnotes = 
| elevation_min_footnotes = 
| area_rank               = 
| area_footnotes          = {{PSGC detail|area}}
| area_total_km2          = {{PH wikidata|area}}
| population_footnotes    = {{PH census|current}}
| population_total        = {{PH wikidata|population_total}}
| population_as_of        = {{PH wikidata|population_as_of}}
| population_blank1_title = [[Household]]s
| population_blank1       = {{PH wikidata|household}}
| population_blank2_title = 
| population_blank2       = 
| population_density_km2  = auto
| population_demonym      = Pasigueño
| population_rank         = 
| population_note         = 
| timezone                = [[Philippine Standard Time|PST]]
| utc_offset              = +8
| postal_code_type        = [[List of ZIP codes in the Philippines|ZIP code]]
| postal_code             = {{PH wikidata|postal_code}}
| postal2_code_type       = {{PSGCstyle}}
| postal2_code            = {{PSGC detail}}
| area_code_type          = {{areacodestyle}}
| area_code               = {{PH wikidata|area_code}}
| website                 = {{PH wikidata|website}}
| demographics_type1      = [[Economy of the Philippines|Economy]]
| demographics1_title1    = {{PH wikidata|income_class_title}}
| demographics1_info1     = {{PH wikidata|income_class}}
| demographics1_title2    = [[Measuring poverty|Poverty incidence]]
| demographics1_info2     = 2.54% (2015)<ref>{{cite web |url=https://psa.gov.ph/sites/default/files/City%20and%20Municipal-level%20Small%20Area%20Poverty%20Estimates_%202009%2C%202012%20and%202015_0.xlsx|title=PSA releases the 2015 Municipal and City Level Poverty Estimates|location=Quezon City, Philippines |access-date=1 January 2020}}</ref>
| demographics1_title3    = [[Revenue]]
| demographics1_info3     = {{PH wikidata|revenue}} {{PH wikidata|revenue_point_in_time}}
| demographics1_title4    = Revenue Rank
| demographics1_info4     = 
| demographics1_title5    = [[Asset]]s
| demographics1_info5     = {{PH wikidata|assets}} {{PH wikidata|assets_point_in_time}}
| demographics1_title6    = Assets Rank
| demographics1_info6     = 
| demographics1_title7    = [[Liabilities]]
| demographics1_info7     = {{PH wikidata|liabilities}} {{PH wikidata|liabilities_point_in_time}}
| demographics1_title8    = Liabilities Rank
| demographics1_info8     = 
| demographics1_title9    = [[Expenditure]]
| demographics1_info9     = {{PH wikidata|expenditure}} {{PH wikidata|expenditure_point_in_time}}
| demographics1_title10   = Expenditure Rank
| demographics1_info10    = 
| demographics_type2      = Service provider
| demographics2_title1    = Electricity
| demographics2_info1     = {{PH electricity distribution | {{wikidata|label|raw}} }} 
| demographics2_title2    = Water
| demographics2_info2     = 
| demographics2_title3    = Telecommunications
| demographics2_info3     = 
| demographics2_title4    = Cable TV
| demographics2_info4     = 
| demographics2_title5    = 
| demographics2_info5     = 
| demographics2_title6    = 
| demographics2_info6     = 
| demographics2_title7    = 
| demographics2_info7     = 
| demographics2_title8    = 
| demographics2_info8     = 
| demographics2_title9    = 
| demographics2_info9     = 
| demographics2_title10   = 
| demographics2_info10    = 
| blank_name_sec1         = {{PH wikidata|climate_title}}
| blank_info_sec1         = {{PH wikidata|climate_type}}
| blank1_name_sec1        = [[Languages of the Philippines|Native languages]]
| blank1_info_sec1        = {{PH wikidata|language}}
| blank2_name_sec1        = [[Crime index]]
| blank2_info_sec1        = 
| blank3_name_sec1        = 
| blank3_info_sec1        = 
| blank4_name_sec1        = 
| blank4_info_sec1        = 
| blank5_name_sec1        = 
| blank5_info_sec1        = 
| blank6_name_sec1        = 
| blank6_info_sec1        = 
| blank7_name_sec1        = 
| blank7_info_sec1        = 
| blank1_name_sec2        = Major religions
| blank1_info_sec2        = 
| blank2_name_sec2        = Feast date
| blank2_info_sec2        = 
| blank3_name_sec2        = Catholic diocese
| blank3_info_sec2        = 
| blank4_name_sec2        = Patron saint
| blank4_info_sec2        = 
| blank5_name_sec2        = 
| blank5_info_sec2        = 
| blank6_name_sec2        = 
| blank6_info_sec2        = 
| blank7_name_sec2        = 
| blank7_info_sec2        = 
| short_description       = 
| footnotes               = 
}}
